Type,Restaurant_Name,Review_Title,Rating,Review_Date,Review_Content
Japnese,"Shinji by Kanesaka, Singapore","Fresh, delicious, omakase lunch from friendly 1 Star Michelin Shinji (Carlton Hotel, Singapore)",50,19 June 2018,"Boss brought two of us here as a surprise, during lunch. This is my second visit; previously, the chefs were at Shinji, Raffles Hotel.The size of the restaurant was just right and it was neither noisy nor quiet. Feel free to talk. Our chef paid attention to our conversations and chatted with us on some matters. We had an expensive omakase set - SGD 300 - this set included a plate with four types of uni, all of which were sweet. Chef informed us the order in which they should be consumed. The seafood was terrific in general. I enjoyed watching my chef press and shape the rice with seafood. I took numerous shots with my mobile and he was ok with that; he even smiled and mock-posed for me once !The dish with the monkfish liver was the best I had - lucky me, my boss gave me her portion. The monkfish came in two generous portions, and were served with a big slice of octopus, daikon with sea eel (I'm guessing from the pics because I can't remember), prawns or lobster and (this is what I enjoy most in Japanese fine dining) decorated with maple leaves and hydrangea.The last dish - fruits - included a generous (and expensive) sweet slice of honey dew and mango (also very expensive and very sweet).Altogether, a gorgeous lunch - great food, friendly chefs. Feel free to let them know you dislike certain tastes or smells - both my colleagues had them exclude wasabi and one of them asked them to hold back spring onions.If you have spare change, drop by Carlton Hotel Singapore for Shinji and enjoy the lovely Chihuly glass sculpture at hotel lobby."
Japnese,"Shinji by Kanesaka, Singapore",Distinctive Japanese cuisine,50,19 June 2018,"Shinji by Kanesaka. Located at Lobby floor, Carlton Hotel, 76 Bras Basah Road, Singapore.The gateway of a wonderful marriage of distinctive Japanese cuisine serving a tantalising collection of dishes that will cater to every palate. Personal chef of the day will personally attend to about 8 diners, preparing busy at work master of sushi he expertly sliced out the fish, put on the sushi rice and finally, potter on the delicate seasonings, creating a very unique flavours. All the sushi I had tasted are very fresh and do not have even a hint of fishy smell, yet retaining the sweet, unique flavour of each own fish. The service is absolutely excellent, warm, friendly and genuine. One of the best services I had encountered. The place is unsophisticated, yet elegant, full of the Zen inspiration, filling one with tranquillity. I love this place I'll definitely be back!"
Japnese,"Shinji by Kanesaka, Singapore",A must for Sushi lover,50,20 May 2018,"One of the finest Omakase in Singapore my wife said that. Located in the ground floor, same as lobby of the Carlton Hotel, it provides both private room as well as share table over the counter where the Chef prepare each and every bite of your sushi & Sashimi. My wife ordered a small set, 15 pieces, Omakase cost $ (Singaporian) 220 cuz she's a small lady. The Chef was very kind to cutdown the size of rice in each sahimi underneath the superb and fresh various kind of fish such as Uni, Akami,O Toro, Ama-E bi, Shima-Aji, and others which we did not know the exact Japanese name. My wife told Chef that she loves white-meat-fish and he tried to give her more so. The meal was superb and worth the price. Strongly recommended if you are sushi lover. Will definitely come back !"
Japnese,"Shinji by Kanesaka, Singapore",Fresh sushi and very nice service!!!,50,20 May 2018,I came here with my friend and i love this place because of food and service. Everything here was superb. I will come back with my family next time.Thanks you everything. Highly recommend if you need sushi in Singapore.
Japnese,"Shinji by Kanesaka, Singapore",Superb Japanese in Singapore,50,18 May 2018,"On a recent visit through Singapore and a birthday treat for a local, I and a friend dined at Shinji by Kanesaka at the Carlton Hotel.The atmosphere was lively yet relaxing.The restaurant had separate rooms for group.We shared a section with 4 other couples.We chose the mixed sashimi and sushi menu, fixed price around $300 per head plus a small Sake recommended by the host.The food was sublime.It was prepared for us by the master's chef in front of us.Every dish was an explosion of flavour, singing of the sea.The sea urchin roe was unctuous and luscious, washed down with the light and fragrant Sake.A superb night and fit for a special occasion."
Japnese,"Shinji by Kanesaka, Singapore",Best sashimi and sushi nigri ever,50,12 May 2018,"Amazing experience. I have never had such a great japanese dinner. To celebrate this excellent meal, I have a photo of me as a Sumo fighter and my wife as a fish but I will spare you that. Many thanks to the great team at Shinji by Kaneska"
Japnese,"Shinji by Kanesaka, Singapore",Sushi lover must try,50,28 April 2018,"We came here because it's located inside St Regis where we stayed. Our friends already told us this is one of the best Japenese restaurants in Singapore. We sat at the sushi counter facing our chef. We then ordered one Omakase & one sushi lunch with a bottle of sake recommended by the chef. Everything was so perfect with delicious food. The sashimi & sushi were all very fresh. I love the dessert which was a rice cracker shell with green tea ice cream, Very comfortable atmosphere & the guests including us just focused on the food well prepared by our chefs. It's pricey but we got what we paid for: quality food, excellent chef, perfect service and nice/quiet ambience. "
Japnese,"Shinji by Kanesaka, Singapore","Extremely good, but atmosphere and wooden chopsticks",40,31 March 2018,"No complaints about the food,perfect! Missing is though a bit of atmosphere it’s just empty rooms with chairs doesn’t help creating a good conversation. For a Michelin star restaurant having wooden chopsticks...."
Japnese,"Shinji by Kanesaka, Singapore",Stunning,50,26 March 2018,"Extremely happy to have dined here. The staff were superb, very attentive and helpful. The chef was just a delight. Happy to chat while he worked. And what a master he was - it is so incredible to watch a true craftsman.But the food - well you will not find fresher or better tasting anywhere. If you are a Japanese food lover then this one is for you. Yes it is expensive, don't think you will get much change out of $1,200 - but you really must try it at least once in your life."
Japnese,"Shinji by Kanesaka, Singapore",Wow wow wow,50,20 March 2018," Not sure where to start. We had an amazing experience at Shinji by Kanesaka. The food is absolutely amazing, the private rooms with your own chef makes this an culinary feast. The sushi and sashimi is made to perfection. A perfect place to any special occasion."
Japnese,"Shinji by Kanesaka, Singapore",Honeymoon sushi,50,25 February 2018,"When investigating restaurants for the start of our Honeymoon in Singapore, one stood out from the crowd - Shinji at The Carlton hotel, why.......The promise of an intimate and authentic sushi experience - we were not disappointed!We left the dish decision to our sushi master chef Oshino and boy did he deliver, from the three different ages and types of tuna to the two different types sea urchin, every dish was incredible to look at let alone taste.Watching the master himself, chef Oshino, was a true honour, the preparation of every dish was a joy to watch, so meticulous and precise.Our visit totally changed our opinion on sake, the choice was overwhelming but the waiting staff helped us with the perfect choice.We left feeling truly spoiled and that we had experienced a truly magical culinary experience.Some people say that Shinji is too expensive, I say you get what you pay for and we got culinary excellence and one hell of an evening.We will be back - we just do not know when."
Japnese,"Shinji by Kanesaka, Singapore",A inviting and exquisite experience,50,23 February 2018,"After trying Kanesaka in Tokyo, I was stoked to find out there was one in Singapore, and offering cheaper options. The chef recommended we take the $125 course if we liked uni (originally we came for the $75), and we were not disappointed! The chef we had was jovial and friendly, and it's apparent the chef has loyal regulars by the way they interact, which is good to see! We we in a smaller room, but it didn't detract from the experience. I would definitely take others there the next time! Quality of the food almost as good as the Tokyo Palace Hotel branch!"
Japnese,"Shinji by Kanesaka, Singapore",Lunch date ,50,22 January 2018,"As always, my fav is Japanese food and my hubby took me to Shinji@raffles hotel. We went for the full set meal. Their serving was very generous and lots of variety. Their service was great and their chef even wore some funny mask to entertain the customers. Finds their service personal. Excellent food and excellent service "
Japnese,"Shinji by Kanesaka, Singapore",Excellent Omakase Japanese Cuisine,50,7 January 2018,"Excellent omakase Japanese Cuisine served by team of artisan chef.. rest assured that you will be served the freshest ingredients and beautifully presented.. Delight your palate and will definitely keep you busy taking pictures.. a great place for Japanese Cuisine lover, and hosting your guests.  Michelin ⭐️"
Japnese,"Shinji by Kanesaka, Singapore",Best sushi in Singapore,50,31 December 2017,"Amazing selection of nigiri sushi. Excellent cuts of fish that are perfectly seasoned, paired with warm, moist and vinegar flavoured rice! The tamago here is sweet, soft and outstanding too! Service is friendly with lots of attention to detail. Each visit is a trip to sushi heaven!"
Japnese,"Shinji by Kanesaka, Singapore",Yummy Japanese ,40,18 December 2017,"A busy Japanese restaurant that looks like a favorite among locals. The sushi/sashimi is very fresh. For dessert, I loved their green tea ice cream."
Japnese,"Shinji by Kanesaka, Singapore",Fabulous sashimi/ sushi (at a price),40,28 November 2017,A great experience if you are a fan of sashimi/ sushi (including cuttlefish sperm & monk fish liver!). Undeniably fabulous sashimi and sushi; also undeniably expensive. We went on a Monday evening when there were not many diners and the sushi bar was lacking in atmosphere. 
Japnese,"Shinji by Kanesaka, Singapore",Best Sushi restaurant ,50,25 November 2017,"Great experiences
Fresh
Innovative
Best sushi
Excellent service
It was in Raffles hotel in the before and removed here in Apr 2017.
The table is made from special wood - 220 years old. It is of one piece wood."
Japnese,"Shinji by Kanesaka, Singapore",Totally Recommend it! ,50,9 November 2017,Fish is super fresh and delicious!The staff is really nice and accesible. They will not give you what you ask them not to and they will substitute your pieces with something else instead of just not giving anything to you like other omakase places. The sake was one of the best I've ever had! Totally recommend this place! 
Japnese,"Shinji by Kanesaka, Singapore",Excelent,50,7 November 2017,Excelent but very expensive. Intimate. Best for special ocasions. Food great quality. Sake perfect. Reservation required for saturday evening.
Japnese,"Shinji by Kanesaka, Singapore",Amazing sushi,50,18 October 2017,"Traveling regularly to Japan, it has always been difficult to find the same taste in Singapore.But this time, I have found it!What a fantastic omakase prepared by the whole team is sushi masters.It was like a short trip to Japan during a dinner. THE sushi place in Singapore"
Japnese,"Shinji by Kanesaka, Singapore",Best sushi of my well traveled life,50,7 October 2017,"Nothing can compare to this experience. About 10 seats and at least 4 chefs working in front of you creating traditional exotic Japanese artful, precise, wonderful food. Each mouthful amazing. Each serving on beautiful special plates, every creation made with a ballet-like movement between chef and fish."
Japnese,"Shinji by Kanesaka, Singapore",THE sushi bar,50,22 September 2017,"One problem there is with this place - it annuls all the sushi you've eaten before. Unless you've been to a similar establishment in Japan or Hong Kong (let's face it, the chances are low), Shinji is going to be your maiden genuine sushi experience. We felt literally like savages being civilized here. You eat nigiri sushi several seconds after they were prepared.You don't handle soy sauce and wasabi - it's for the chef to decide the sauces in what you're eatingWe had a set consisting of a starter, 14 nigiri sushi, miso soup with sakura shrimp and a dessert. And that were definitely the best ones we ever had. Different kinds of tuna, needle fish, sea urchin roe, shrimp and all. The place is a real eye opener on what a proper sushi is."
Japnese,"Shinji by Kanesaka, Singapore",Don't take the kids!...,50,6 September 2017,"The decor here is Tokyo authentic and the fish direct from the Tokyo fish market (literally). As you could expect the Sushi is unbelievable!!However, with a $200, $300 or $500 price per head, it's not a cheap nite out.The only goods news is that the wine is quite affordable (by comparison).Loved it tho. And I'm going back for the $500 meal (but won't take the kids)."
Japnese,"Shinji by Kanesaka, Singapore",Amazing jap sashimi/sushi,50,4 September 2017,"Had the Omakase and the 9piece set for both of us.
Probably the best tuna sashimi i have eaten (i dare say even better than the ones we tried in Osaka at kurumon ichiba market!)
Ended with nice birthday surprise from the chefs!"
Japnese,"Shinji by Kanesaka, Singapore",Wonderful experience ,50,30 July 2017,Had an Omakase lunch at Shinji. We were time constrained so we requested the sashimi and sushi. The sashimi and sushi were impeccable. Wonderfully fresh and melted in the mouth. The pickled ginger was also excellent - most unusual texture and flavour. Service was discreet and excellent. An expensive experience but worth it. 
Japnese,"Shinji by Kanesaka, Singapore",Delicacy ,50,26 July 2017,For the first time of my life I finished all the gingers and probably the most I have ever had! Friendly waitress kindly answered my question about the finger wipe. The sushi is just amazing. Would be better if the chef presents them with more languages than Japanese. In the end I'm just not full...
Japnese,"Shinji by Kanesaka, Singapore",Heavenly Chutoro,50,20 July 2017,Starts with sashimi and cooked stuff and ends with sushi. The chutoro (semi fatty tuna) is the best I ever tasted!
Japnese,"Shinji by Kanesaka, Singapore",Good but....,40,17 July 2017,"The fish are fresh, the uni rice with caviar is excellent. The service is ok( some younger waitress are a little unsure. Ambience is same as any sushi place.
Prices are higher than Japan."
Japnese,"Shinji by Kanesaka, Singapore",Tokyo Standard Japanese Sushi in Singapore,50,13 July 2017,"It had moved to Carlton hotel some time ago & this was the first time we went there, & we had the OMAKASE for our dinner. It has a seating for 12 at the counter, & three more tables at the side & a private room; obviously u need to make an advance booking if you want to get a counter seat. This is the place to go in S'pore if you demand same high quality Sushi as you would get at those high end Sushi Restaurants in Japan, so be prepared to pay a hefty premium."
Japnese,"Shinji by Kanesaka, Singapore",One of the best sushi restaurants in Singapore,50,23 June 2017,Very good sushi served at a counter or in small private rooms. Expensive but the quality of produce is telling. 1 michelin star is a fair rating and this is easily one of the top 3-5 sushi restaurants in Singapore.
Japnese,"Shinji by Kanesaka, Singapore",Serious Sushi in a Traditional Setting,50,7 May 2017,"Special night if you like Sushi as we do as we made our way through the tasting menu and then more. Beautifully prepared, served and accompanied with sake and wine."
Japnese,"Shinji by Kanesaka, Singapore",The standard,50,7 May 2017,"Despite many high end Japanese restaurants in Singapore, and the many hype and stars associated with them, I felt that Shinji is the one that still sets the standard of Edomae sushi. It is a pure culinary experience.My wife and I visited the restaurant for a birthday celebration and we chose the counter seats for better interaction with the chef and energy of the surrounding.We left our evening with the chef to take us through the wonderful Omakese journey he had prepared for us. It's difficult to explain in full the amazing favor of each ingredients and how they intertwined with each other. It's the skills and arts combined at work, and the respect that the chef had on the ingredients. This reminded us of the beautiful sushi experience in Tokyo and Otaru.We also ordered a bottle of chilled sake as recommended, it went very nicely with the dishes; we decided to order another serving and shared with the chef and staff as an appreciation.The ambiance was zen and minimalistic, soothing to the eye and body. At the counter in our evening we had mainly Japanese diners, giving the experience an authentic feel.It's a memorable evening and one that will remain in our mind for a long time."
Japnese,"Shinji by Kanesaka, Singapore",Poor Marketing Collaboration,30,21 April 2017,"i have dined at Shinji at Raffles 3 times before, so on invitation of UOB Bank, I have my dinner this time at the Carlton location. I was reminded by my bank manager it's a $300 pp dinner menu, so I look forward to another great experience at Shinji.But I was very disappointed by the outcome, dishes served may have still maintained the standard, but I was surprised that I didn't get a slice of Toro and total dishes served were much lees that lunch in a cheaper menu.On my way out, I questioned the staff on my doubts that the menu worth $300pp, she quickly show me the menu starting price at $300pp, but I asked her why no Toro, no certain hot dishes I used to get etc, she was unable to comments as this is a marketing agreement with the bank etc.Actually I already suspected this kind of marketing dinner will be a modified menu though they claimed at certain price menu. My disappointment is that a premium Michelin star restaurant should not participate such kind of event, but if chose to do it, should serve the exact menu offering as usual but not modified it.Also the Chef is not as sociable as other top end sushi place like Hashida."
Japnese,"Shinji by Kanesaka, Singapore",Same good quality. More seats,50,10 April 2017,"Oshino-san was in his element, whipping out seasonal highlights with his affable personality & adorable wife as chief waitress clad in a brand new kimono, apparently from material given by her mum. Food was as usual sublimely exquisite. More seating capacity also meant higher din when diners get excited in their conversations. Interesting place to people watch as well. From the corporate types to singularly focused Japanese connoisseur just content with the pleasure of eating fresh sashimi."
Japnese,"Shinji by Kanesaka, Singapore",Outstanding Japanese food,50,7 April 2017,"I love Japanese food so I decided to treat myself when I was working in Singapore (why not?). Shinji seems to offer two sittings for lunch and the restaurant is very intimate with seating around the bar so you watch the chefs work. Perfect.I arrived for my lunch to a warm greeting and a stool for my bag. I decided to have the 'chef's surprise' whereby the chef prepares a number of different dishes for you, including hot dishes, and a selection of sashimi and sushi. I can only describe the meal as exceptional. I loved watching my sushi being prepared for me individually, the quality was incredible. The other dishes were works of art on a plate and were just as outstanding as the other dishes.I started taking notes of what I was eating so I could tell my other half when I got home but stopped after the fourth dish and just savoured the whole experience.This was an expensive treat to myself but it was one that I will always remember. I fully intend to return next time I'm in Singapore."
Japnese,"Shinji by Kanesaka, Singapore",UNI RICEEEEE,40,27 February 2017,"Had the omakase for 2.
Every sushi/dish tasted great. Definitely worth the experience.
Ended the omakase with the best melt in your mouth uni rice ever!!!"
Japnese,"Shinji by Kanesaka, Singapore",Best Edomae Sushi in Singapore,50,6 February 2017,"Best Sushi restaurant in Singapore, period.. Having tried a number of popular sushi restaurant (be it with michelin stars or not), this one takes the crown for Singapore best at this Raffles hotel branch. Get the sushi counter and make advance reservation. And go for lunch for cheaper menu option. You can't go wrong with any menuFood = 5 stars, service = 5 stars.. Price, definitely reflect the quality offered"
Japnese,"Shinji by Kanesaka, Singapore",Good Edomae sushi tasting menu albeit pricey,40,23 January 2017,"Really good sushi restaurant and great service. We had the Edomae menu which had 15 sushi options with a hefty price tag of S$220. The sea urchin and chutoro were particularly excellent, but the horse mackerel could be better and the temperature of the rice was inconsistent. "
Japnese,"Shinji by Kanesaka, Singapore",Deserves even more stars,50,20 January 2017,If I could give a sushi restaurant 10 stars this would be the place --innovative tasty and as much as you can eat in one meal. Best sushi I have had anywhere on the globe
Japnese,"Shinji by Kanesaka, Singapore",Good but expensive for what it is,30,8 January 2017,This was my 2nd visit. 1st time was 2013. Whilst I enjoyed the meal I felt it wasn't the same as the first time.... perhaps different chefs.? The service was a bit cold and I didn't find the chef engaging. Food was good but not as good compared to the likes of hashida or shoukouwa. Pricey for what it is I think.
Japnese,"Shinji by Kanesaka, Singapore",outstanding,50,30 December 2016,"There is not a better Japanese restaurant in Singapore, this place is incredible in terms of food quality, service at the counter watching the chef's prepare and in terms of a lunch time price (apparently it's double in the evening so go for lunch!).Excellent in terms of impressing a client or a girl the delivery of one item at a time really enables you to fully enjoy the experience while still having great conversation. They have it sorted. Highly recommended."
Japnese,"Shinji by Kanesaka, Singapore",Intimate and Superb!,50,24 December 2016,"This discrete restaurant on the second floor of the Raffles Hotel is widely considered to serve the best sushi in Singapore and we were not disappointed! We enjoyed the $225 US omakase at a 10 person sushi bar in a private room in the back of the restaurant. It consisted of more than a dozen courses of some cooked, but mostly raw dishes and everyone was both a visual and a culinary delight. Excellent service and a thoughtful and fairly-priced sake list rounded out the experience. Expensive but a must stop for any serious sushi lover visiting Singapore."
Japnese,"Shinji by Kanesaka, Singapore",Our experience ,20,21 December 2016,"The food in the restaurant is good but way too pricey for the quality of service they have. For the shrimp sashimi chef showed us dead and old shrimps saying that they are fresh and joking that they are ""sleeping"". We asked to replace them for fresh ones, however chef just pretended that he changed them, apparently thinking that we are fools. In the meantime, we have been to Nobu, Zuma snd other upscale restaurants which serve japanese/fusion food. We asked him again to change the shrimps and he replied that it is our fault because we got late for our sitting (the sitting was at 9 and we came there by 9:15). Later, we asked to replace this shrimp sashimi for other sushi, and the restaurant included it in the bill as ""extra"". The last and final was the desert (fruit) which was half portion in comparison to what the other customers got, who ordered the same set. Apparently it was also because we got 15 min late. Altogether we paid 750 SGD. No comments. "
Japnese,"Shinji by Kanesaka, Singapore",THE perfect japanese restaurant outside japan,50,10 December 2016,"outstanding and authentic japanese food of the very highest quality! pricy yes, but its worth every penny!! seeing the chefs preparing your sashimi and sushi dishes is a delight, again, outstanding!"
Japnese,"Shinji by Kanesaka, Singapore",The best sushi meal I have ever had outside Japan,50,25 November 2016,We sat at the bar with chef preparing the meal in front of us. They onoy have 3 set price menues and not a la carte. We chose the middle menu ($300 per person) and were not disappointed.We decided to go to town on the budget and ordered a bottle of Champagne to drink with our meal.This was the best Sushi meal we have ever had outside Japan. Worth every penny.
Japnese,"Shinji by Kanesaka, Singapore",Top of the line sushi,50,23 October 2016,"We were there to celebrate our 25 th wedding anniversary. In a small room with 8 seats, chef Ishizawa showed his talents in 2 hours. Everything in the restaurant except water was brought from Japan. Every bit we tasted was so fresh and tasty. Sea urchin from Hokkaido was spectacular, I had not tasted such a good sea urchin even in Japan. The sake menu was quite good. The chef is a very nice person full of humor :) The price is quite high but it is worth eating at least one time in a lifetime.."
Japnese,"Shinji by Kanesaka, Singapore",First class.,50,17 October 2016,Located on second floor of the Raffles hotel. Fantastic sushi and sashimi. The cold sake was super.Reccomended.
Japnese,"Shinji by Kanesaka, Singapore",Excellent Japanese but can be $$$$$,50,1 October 2016,"Went for dinner with a group of 5 at the Shinji, Raffles hotel. We took the smaller rooms which can occupy up to 8 pax. Ideal for group and also cosy. Food was great and fresh sashimi. We took omekashi set dinner and cost a lot with 2 bottles of sake. It was recently crowned with 1 star Michelin and expect the food and service at the TOP notch. Expensive but worth a try ."
Japnese,"Shinji by Kanesaka, Singapore",Stunning,50,30 September 2016,"Absolute fantastic sushi, prepared and beautifully presented by knowledgeable, dedicated experts. Not cheap - but the quality justifies the price."
Japnese,"Shinji by Kanesaka, Singapore",Amazing 1 Michelin Star Sushi in Singapore,50,29 September 2016,"Located on the second level of the Raffles Hotel, Shinji sushi offered me an amazing authentic Japanese gourmet experience. I was there with my fiancee for a casual lunch. We ordered Hana (flower) set-lunch. The 9 pieces meal was definitely enough to fill your stomach. The chef prepared the freshest ingredients in front of us and he’d proportioned the size of the sushi rice so that you’d have the best experience without feeling either hungry or bloated at the end of the meal. We were really impressed by the gold flakes mocha dessert at the end."
Japnese,"Shinji by Kanesaka, Singapore",Omakase-Wow,50,26 September 2016,"One of the top 5 dining experiences I have had. A Michelin star should tell you what you need to know and this restaurant is as good as the the top Omakase restaurants in Ginza.Chef Ishizawa presents and endless flow of fresh Japanese delicacies over about a 2 hour period. I am not a huge sea urchin (Uni) fan but Chef presented several types from Hokkaido and I was amazed.The grilled tuna was also out of this world as Chef selects a heavily marbled cut and the fish is tender and juicy throughout.One caution: If you have to ask about pricing, this is not your restaurant."
Japnese,"Shinji by Kanesaka, Singapore",Expensive sushi. Bespoke service.,40,18 September 2016,"I'll start off by saying that at 250 ++ (around $300) per pax, this was probably one of the most expensive lunch i've ever had in my life (without alcohol). Made a reservation for 2 person for a weekday lunch, and was promptly seated at the table by a Japanese lady. Service was really good and there was a personal chef to cater to the 8 customers that were seated at my table (including myself). Ordered the Omakase (a.k.a Yume) set. It started off with some sea urchins as appetizers followed by a series of maybe 7-8 sashimi. Each of the sashimi served was pretty fresh, but my partner and myself were both slightly dissapointed that they didn't serve use Chutoro (i.e. fatty tuna) for the price we paid. (perhaps we had too high an expectation). Desert was some cake, nothing too special though.Overall, Lunch was okay, it wasn't too filling. The chef was pretty cool, sharing information on the food that we were served and the origins of the seafood etc. Reminds me of the time when I was at Sushi Dai (Tsukiji market, Tokyo), where the Japanese chef was similarly very keen to share more about the Japanese culture. All in all, based on my experience observing what the other guests were having, I think that the 12 or 15 pieces of sushi is of better value than the Omakase (they are about $100 cheaper).Definitely do check out this place if you are looking at high-end Japanese cuisine in Singapore."
Japnese,"Shinji by Kanesaka, Singapore",If you like sushi you must go to Shinji,50,14 September 2016,"Located at the Raffles hotel, we went there not knowing what to expect, once we got there and saw a small restaurant we knew the experience was gonna be epic.If you come to Shinji you know you will get the best sushi in town..100% fresh!"
Japnese,"Shinji by Kanesaka, Singapore",Outstanding!,50,13 September 2016,"My husband and I were celebrating a special occasion and decided on Shinji @ Raffles Hotel for lunch at the sushi counter on a Saturday in September and were not disappointed. We have previously dined at several Michelin star restaurants in Japan, and were keen to try Shinji. We ordered the 12 piece sushi course. My husband and I thoroughly enjoyed the sushi and sashimi and thought it was first class. The fish melted in the mouth and the rice was served at room temperature. Although wasabi was available, we followed the chef's lead and didn't add any more to our plates. The 12 piece course was sufficient for us. Attentive service in filling our drinks when required (we had champagne). We brought our 11 month old daughter and the staff were courteous and friendly to her too. She didn't eat but enjoyed the experience and attention from the friendly wait staff. While not a fault of the restaurant, I was surprised to see and felt a bit disappointed for the chef and staff that a fellow diner (who was by himself) was dressed very casually in shorts and t-shirt and ate entire meal with head phones on and looking at his phone. All in all, a wonderful experience and would eat here again for a special occasion!"
Japnese,"Shinji by Kanesaka, Singapore",Very good sushi,50,11 September 2016,"Last year I went to Hashida sushi, and this year to Shinji. I think both restaurants are equally good. At Shinji my husband and I ordered the Hana set and the Omakase special for lunch. Total bill was about $380+. Sushi is very good, though the pieces seem to be smaller than what I had in Tokyo. I remember that in Tokyo the pieces of fish are much larger than the rice underneath. Here in Shinji the fish and the rice are about the same size.Overall, it is a very good dining experience with excellent service. Though I don't think it is value for money if you compared with what you can get in Tokyo."
